Date,Close,High,Low,Open,Volume,sector
,VOO,VOO,VOO,VOO,VOO,ETF
2017-12-27,217.7548065185547,218.0561707389076,217.48891680118544,217.7814090146923,1379100,ETF
2017-12-28,218.1625518798828,218.22460183738553,217.83461217423203,218.15369339641197,2346700,ETF
2017-12-29,217.4091796875,218.72096566847452,217.17873737838988,218.7120936598604,2326700,ETF
2018-01-02,219.0045623779297,219.0045623779297,217.80801796680245,218.17140512200888,2784300,ETF
2018-01-03,220.3074493408203,220.4315357133085,219.0843025802937,219.1374940465603,2917700,ETF
2018-01-04,221.2735595703125,221.69013816294205,220.84812249517623,220.93676141784664,2918000,ETF
2018-01-05,222.6917266845703,222.8246715593972,221.5394881799289,221.9915278031449,2190200,ETF
2018-01-08,223.15264892578125,223.25014635266632,222.35493901733886,222.61198383567393,2476200,ETF
2018-01-09,223.6223602294922,224.1896141824351,223.27669006323637,223.51599081528968,2129800,ETF
2018-01-10,223.24124145507812,223.50714471871842,222.31060031893975,222.92216024359013,1953600,ETF
2018-01-11,224.88983154296875,224.88983154296875,223.64896764495472,223.77305403475614,2280300,ETF
2018-01-12,226.3788604736328,226.51180533435584,225.04048576181663,225.1557136573772,2054900,ETF
2018-01-16,225.55458068847656,228.14267788143917,224.9518792367629,227.60202638620297,3719600,ETF
2018-01-17,227.73495483398438,228.09835549011046,225.78502021546544,226.45863005840076,1867700,ETF
2018-01-18,227.42469787597656,228.02739919346587,226.91948042655255,227.6462816293592,3154200,ETF
2018-01-19,228.39083862304688,228.39971063030586,227.37155859396088,227.92108206796536,2541200,ETF
2018-01-22,230.22557067871094,230.25215965304506,228.18701051628437,228.18701051628437,1607800,ETF
2018-01-23,230.7484893798828,231.0055341466851,230.01284310789273,230.3053218055075,2161100,ETF
2018-01-24,230.63328552246094,231.89189346634893,229.5785444216041,231.36008691190605,2935500,ETF
2018-01-25,230.73960876464844,231.5284600010321,230.03055149162137,231.48415406476832,3585600,ETF
2018-01-26,233.4252166748047,233.43408868209448,231.3068896903523,231.6259573671524,2857300,ETF
2018-01-29,231.81211853027344,233.32774416657924,231.7589405815472,232.95547147669154,5145000,ETF
2018-01-30,229.3392333984375,230.75737513066204,229.0821886163259,230.15467368532782,6678900,ETF
2018-01-31,229.55191040039062,230.78392912723254,228.63014140563084,230.29642861098876,5585800,ETF
2018-02-01,229.32150268554688,230.5534944764589,228.63016235173959,228.93151305634254,3125700,ETF
2018-02-02,224.41122436523438,228.23132713315084,224.32258543037307,228.11609922271165,5532200,ETF
2018-02-05,215.19329833984375,224.65936447638066,214.4221911114396,222.7005579058405,8559200,ETF
2018-02-06,219.17295837402344,219.64271492921006,210.6552769030412,211.656839966636,11701700,ETF
2018-02-07,217.9763946533203,221.83195792499626,217.96753617069797,218.66774850549197,6240200,ETF
2018-02-08,209.8752899169922,218.41956004692668,209.79552300098302,218.26002621490838,6985700,ETF
2018-02-09,213.11044311523438,214.67038823844067,206.00203084216957,212.36592477400424,9713100,ETF
2018-02-12,216.0353240966797,217.43573519027353,213.30541034106142,214.9362636939553,4236200,ETF
2018-02-13,216.7621307373047,217.1521203827126,214.46652585340098,215.05151032151284,3077700,ETF
2018-02-14,219.598388671875,219.91746986216745,215.23762142081196,215.37943828858658,3650800,ETF
2018-02-15,222.44354248046875,222.44354248046875,218.90706022323104,221.2292676047232,2923800,ETF
2018-02-16,222.41693115234375,224.2427792861849,221.73444934159718,221.82308826095658,3007500,ETF
2018-02-20,221.06976318359375,222.9222008343995,220.34297522333492,221.5838393137301,3454400,ETF
2018-02-21,219.9086456298828,223.74647899371223,219.9086456298828,221.45973236119386,2798000,ETF
2018-02-22,220.17453002929688,222.3814960191882,219.6427235001365,220.84813991175176,3177700,ETF
2018-02-23,223.790771484375,223.790771484375,220.96336013395356,221.4242582082433,2923100,ETF
2018-02-26,226.36997985839844,226.4586187784437,224.2339225390717,224.7391265150086,1892000,ETF
2018-02-27,223.48052978515625,227.20313447049494,223.48052978515625,226.57384412819354,2947100,ETF
2018-02-28,220.99879455566406,224.9695856125186,220.99879455566406,224.57072399083773,2716600,ETF
2018-03-01,218.08277893066406,222.49672444521093,216.664637199175,221.16722164359064,5182300,ETF
2018-03-02,219.24386596679688,219.68703354729863,215.67193634990497,216.47850459227442,3276500,ETF
2018-03-05,221.76104736328125,222.28398184540353,217.99412305157188,218.05617300253596,3024600,ETF
2018-03-06,222.31947326660156,222.69173245015708,220.90133145118773,222.6651434745033,1932000,ETF
2018-03-07,222.2219696044922,222.5321923442742,220.13021792394528,220.2897517733859,2730200,ETF
2018-03-08,223.25900268554688,223.37423060468342,221.90291073110797,222.82469351098922,3021600,ETF
2018-03-09,227.1233673095703,227.13223931610582,224.28709772024303,224.59730688778183,2450800,ETF
2018-03-12,226.9018096923828,228.0097286850214,226.52955053378446,227.46907720003946,2029200,ETF
2018-03-13,225.40386962890625,228.4174034590329,224.87207670121327,227.96539096623374,3080600,ETF
2018-03-14,224.21620178222656,226.4674870904485,223.76417572893658,226.30795325672295,2352700,ETF
2018-03-15,224.00350952148438,225.31529546170677,223.55148340151763,224.73031093628893,2161500,ETF
2018-03-16,224.23391723632812,225.20001922973304,224.2161867478583,224.44662900036587,1554600,ETF
2018-03-19,221.23809814453125,223.58688067856127,219.69587024850404,223.57802219661397,2715800,ETF
2018-03-20,221.62814331054688,222.1688083816948,220.98998081593282,221.5749653567296,1991400,ETF
